group,names,scores,logfoldchanges,pvals,pvals_adj
2,Cd53,67.3482,1.8258702,0.0,0.0
2,Gadd45a,66.859436,2.025884,0.0,0.0
2,Sirpal1,66.28943,2.9027143,0.0,0.0
2,Tspo,65.85394,1.6397289,0.0,0.0
2,Ccrl2,65.16076,3.5582244,0.0,0.0
2,Fth1-ps5,63.20009,2.435247,0.0,0.0
2,Ets2,61.609905,2.8848913,0.0,0.0
2,Olr1,61.147907,3.4247735,0.0,0.0
2,Cxcl3,59.847816,2.9210317,0.0,0.0
2,Nudt4,59.074665,2.164293,0.0,0.0
3,S100a9,139.23598,5.54664,0.0,0.0
3,S100a8,135.68558,5.2917805,0.0,0.0
3,Retnlg,119.242775,6.4010534,0.0,0.0
3,Gng10-1,104.96315,2.6787364,0.0,0.0
3,Lrg1,103.44496,3.8380656,0.0,0.0
3,Pglyrp1,103.02209,4.555396,0.0,0.0
3,Tyrobp,100.75678,2.6541936,0.0,0.0
3,G0s2,98.619865,4.0624504,0.0,0.0
3,S100a11,95.757454,1.9948736,0.0,0.0
3,MGC105649,95.65483,3.1782022,0.0,0.0
3,Sirpal1,94.08111,4.098744,0.0,0.0
3,Mmp8,92.37833,4.911795,0.0,0.0
3,Gadd45a,90.75901,2.883118,0.0,0.0
3,Ccl6,90.67503,4.175377,0.0,0.0
3,Lyz2,90.492676,2.3790262,0.0,0.0
3,Hcar2,85.31093,3.578519,0.0,0.0
3,Slfn4,83.939255,3.4458563,0.0,0.0
3,Tmsb4x,81.893234,1.0746975,0.0,0.0
3,Eif1,80.5998,1.0249269,0.0,0.0
3,Alox5ap,78.88805,2.8170142,0.0,0.0
3,Nudt4,78.65438,2.6910894,0.0,0.0
3,Stfa2l3,78.41102,5.352874,0.0,0.0
3,Chi3l1,77.92384,3.2294426,0.0,0.0
3,Fcgr2a-ps1,77.33716,2.3808124,0.0,0.0
3,Sod2,77.19713,1.8279204,0.0,0.0
3,Napsa,76.25267,2.922839,0.0,0.0
3,Samsn1,75.5882,3.2918494,0.0,0.0
3,Camp,74.838394,2.9693217,0.0,0.0
3,Msrb1,74.41593,2.7924454,0.0,0.0
3,Itm2b,73.64773,1.338261,0.0,0.0
3,H3f3a,73.25663,1.0442445,0.0,0.0
3,Mcemp1,71.39195,3.031281,0.0,0.0
3,LOC120095659,71.18843,5.2619567,0.0,0.0
3,Il1r2,71.05779,2.950904,0.0,0.0
3,Tf,70.93924,2.559529,0.0,0.0
3,Nos2,69.97457,2.6436052,0.0,0.0
3,Gmfg,69.85341,1.7283443,0.0,0.0
3,Fcer1g,69.18291,1.968735,0.0,0.0
3,Emb,68.95087,2.3104122,0.0,0.0
3,Trem1,68.601395,2.928186,0.0,0.0
3,Trib1,67.451836,2.507622,0.0,0.0
3,Cxcr2,65.105255,3.3452854,0.0,0.0
3,Prok2,63.75989,4.4613304,0.0,0.0
